From (pre-synaptic type),To (post-synaptic type)
CA3c Pyramidal,CA1 Basket
CA3c Pyramidal,CA1 Basket CCK+
CA3c Pyramidal,CA1 Horizontal Basket
CA3c Pyramidal,CA1 Bistratified
CA3c Pyramidal,CA1 Interneuron Specific LMO-O
CA3c Pyramidal,CA1 Interneuron Specific LMR-R
CA3c Pyramidal,CA1 Interneuron Specific O-R
CA3c Pyramidal,CA1 Interneuron Specific O-Targeting QuadD
CA3c Pyramidal,CA1 Interneuron Specific R-O
CA3c Pyramidal,CA1 Interneuron Specific RO-O
CA3c Pyramidal,CA1 Ivy
CA3c Pyramidal,CA1 LMR
CA3c Pyramidal,CA1 LMR Projecting
CA3c Pyramidal,CA1 O-LM
CA3c Pyramidal,CA1 Recurrent O-LM
CA3c Pyramidal,CA1 O-LMR
CA3c Pyramidal,CA1 Oriens/Alveus
CA3c Pyramidal,CA1 Oriens-Bistratified
CA3c Pyramidal,CA1 Oriens-Bistratified Projecting
CA3c Pyramidal,CA1 OR-LM
CA3c Pyramidal,CA1 Perforant Path-Associated
CA3c Pyramidal,CA1 Perforant Path-Associated QuadD
CA3c Pyramidal,CA1 Quadrilaminar
CA3c Pyramidal,CA1 Radiatum
CA3c Pyramidal,CA1 R-Receiving Apical-Targeting
CA3c Pyramidal,Schaffer Collateral-Associated
CA3c Pyramidal,Schaffer Collateral-Receiving R-Targeting
CA3c Pyramidal,CA1 SO-SO
CA3c Pyramidal,CA1 Hippocampo-subicular Projecting ENK+
CA3c Pyramidal,CA1 Trilaminar
CA3c Pyramidal,CA1 Radial Trilaminar
CA3c Pyramidal,SUB EC-Projecting Pyramidal
CA3c Pyramidal,SUB CA1-Projecting Pyramidal
CA3c Pyramidal,SUB Axo-axonic
CA3 Giant,CA3 Pyramidal
CA3 Giant,CA3c Pyramidal
CA3 Giant,CA3 Axo-axonic
CA3 Giant,CA3 Basket
CA3 Giant,CA3 Basket CCK+
CA3 Giant,CA3 Bistratified
CA3 Giant,CA3 Interneuron Specific Quad
CA3 Giant,CA3 Ivy
CA3 Giant,Spiny Lucidum
CA3 Giant,Mossy Fiber-Associated
CA3 Giant,Mossy Fiber-Associated ORDEN
CA3 Giant,CA3 QuadD-LM
CA3 Giant,CA2 Wide-Arbor Basket
CA3 Granule,CA3 Pyramidal
CA3 Granule,CA3c Pyramidal
CA3 Granule,CA3 Axo-axonic
CA3 Granule,CA3 Basket
CA3 Granule,CA3 Basket CCK+
CA3 Granule,CA3 Bistratified
CA3 Granule,CA3 Interneuron Specific Quad
CA3 Granule,CA3 Ivy
CA3 Granule,CA3 LMR-Targeting
CA3 Granule,Lucidum LAX
CA3 Granule,Lucidum ORAX
CA3 Granule,Lucidum-Radiatum
CA3 Granule,Spiny Lucidum
CA3 Granule,Mossy Fiber-Associated
CA3 Granule,Mossy Fiber-Associated ORDEN
CA3 Granule,CA3 QuadD-LM
CA3 Axo-axonic,CA3 Pyramidal
CA3 Axo-axonic,CA3c Pyramidal
CA3 Horizontal Axo-axonic,CA3 Pyramidal
CA3 Horizontal Axo-axonic,CA3c Pyramidal
CA3 Basket,CA3 Pyramidal
CA3 Basket,CA3c Pyramidal
CA3 Basket,CA3 Axo-axonic
CA3 Basket,CA3 Basket
CA3 Basket,CA3 Basket CCK+
CA3 Basket,CA3 Bistratified
CA3 Basket,CA3 Interneuron Specific Quad
CA3 Basket,Mossy Fiber-Associated ORDEN
CA3 Basket,CA3 QuadD-LM
CA3 Basket CCK+,CA3 Pyramidal
CA3 Basket CCK+,CA3c Pyramidal
CA3 Basket CCK+,CA3 Axo-axonic
CA3 Basket CCK+,CA3 Basket
CA3 Basket CCK+,CA3 Basket CCK+
CA3 Basket CCK+,CA3 Bistratified
CA3 Basket CCK+,CA3 Interneuron Specific Quad
CA3 Basket CCK+,Mossy Fiber-Associated ORDEN
CA3 Basket CCK+,CA3 QuadD-LM
CA3 Bistratified,CA3 Pyramidal
CA3 Bistratified,CA3c Pyramidal
CA3 Bistratified,CA3 Giant
CA3 Bistratified,CA3 Granule
CA3 Bistratified,CA3 Axo-axonic
CA3 Bistratified,CA3 Horizontal Axo-axonic
CA3 Bistratified,CA3 Basket
CA3 Bistratified,CA3 Basket CCK+
CA3 Bistratified,CA3 Bistratified
CA3 Bistratified,CA3 Interneuron Specific Oriens
CA3 Bistratified,CA3 Interneuron Specific Quad
CA3 Bistratified,CA3 Ivy
CA3 Bistratified,CA3 LMR-Targeting
CA3 Bistratified,Lucidum LAX
CA3 Bistratified,Lucidum ORAX
CA3 Bistratified,Lucidum-Radiatum
CA3 Bistratified,Spiny Lucidum
CA3 Bistratified,Mossy Fiber-Associated
CA3 Bistratified,Mossy Fiber-Associated ORDEN
CA3 Bistratified,CA3 O-LM
CA3 Bistratified,CA3 QuadD-LM
CA3 Bistratified,CA3 Radiatum
CA3 Bistratified,CA3 R-LM
CA3 Bistratified,CA3 SO-SO
CA3 Bistratified,CA3 Trilaminar
CA3 Bistratified,CA2 Wide-Arbor Basket
CA3 Interneuron Specific Oriens,CA3 Axo-axonic
CA3 Interneuron Specific Oriens,CA3 Horizontal Axo-axonic
CA3 Interneuron Specific Oriens,CA3 Basket
CA3 Interneuron Specific Oriens,CA3 Basket CCK+
CA3 Interneuron Specific Oriens,CA3 Bistratified
CA3 Interneuron Specific Oriens,CA3 Interneuron Specific Oriens
CA3 Interneuron Specific Oriens,CA3 Interneuron Specific Quad
CA3 Interneuron Specific Oriens,CA3 Ivy
CA3 Interneuron Specific Oriens,CA3 LMR-Targeting
CA3 Interneuron Specific Oriens,Lucidum LAX
CA3 Interneuron Specific Oriens,Lucidum ORAX
CA3 Interneuron Specific Oriens,Lucidum-Radiatum
CA3 Interneuron Specific Oriens,Spiny Lucidum
CA3 Interneuron Specific Oriens,Mossy Fiber-Associated
CA3 Interneuron Specific Oriens,Mossy Fiber-Associated ORDEN
CA3 Interneuron Specific Oriens,CA3 O-LM
CA3 Interneuron Specific Oriens,CA3 QuadD-LM
CA3 Interneuron Specific Oriens,CA3 Radiatum
CA3 Interneuron Specific Oriens,CA3 R-LM
CA3 Interneuron Specific Oriens,CA3 SO-SO
CA3 Interneuron Specific Oriens,CA3 Trilaminar
CA3 Interneuron Specific Oriens,CA2 Wide-Arbor Basket
CA3 Interneuron Specific Quad,AIPRIM
CA3 Interneuron Specific Quad,DG Axo-axonic
CA3 Interneuron Specific Quad,DG Basket
CA3 Interneuron Specific Quad,DG Basket CCK+
CA3 Interneuron Specific Quad,HICAP
CA3 Interneuron Specific Quad,HIPP
CA3 Interneuron Specific Quad,HIPROM
CA3 Interneuron Specific Quad,MOLAX
CA3 Interneuron Specific Quad,Outer Molecular Layer
CA3 Interneuron Specific Quad,Total Molecular Layer
CA3 Interneuron Specific Quad,CA3 Axo-axonic
CA3 Interneuron Specific Quad,CA3 Horizontal Axo-axonic
CA3 Interneuron Specific Quad,CA3 Basket
CA3 Interneuron Specific Quad,CA3 Basket CCK+
CA3 Interneuron Specific Quad,CA3 Bistratified
CA3 Interneuron Specific Quad,CA3 Interneuron Specific Oriens
CA3 Interneuron Specific Quad,CA3 Interneuron Specific Quad
CA3 Interneuron Specific Quad,CA3 Ivy
CA3 Interneuron Specific Quad,CA3 LMR-Targeting
CA3 Interneuron Specific Quad,Lucidum LAX
CA3 Interneuron Specific Quad,Lucidum ORAX
CA3 Interneuron Specific Quad,Lucidum-Radiatum
CA3 Interneuron Specific Quad,Spiny Lucidum
CA3 Interneuron Specific Quad,Mossy Fiber-Associated
CA3 Interneuron Specific Quad,Mossy Fiber-Associated ORDEN
CA3 Interneuron Specific Quad,CA3 O-LM
CA3 Interneuron Specific Quad,CA3 QuadD-LM
CA3 Interneuron Specific Quad,CA3 Radiatum
CA3 Interneuron Specific Quad,CA3 R-LM
CA3 Interneuron Specific Quad,CA3 SO-SO
CA3 Interneuron Specific Quad,CA3 Trilaminar
CA3 Interneuron Specific Quad,CA2 Wide-Arbor Basket
CA3 Ivy,CA3 Pyramidal
CA3 Ivy,CA3c Pyramidal
CA3 Ivy,CA3 Giant
CA3 Ivy,CA3 Granule
CA3 Ivy,CA3 Axo-axonic
CA3 Ivy,CA3 Horizontal Axo-axonic
CA3 Ivy,CA3 Basket
CA3 Ivy,CA3 Basket CCK+
CA3 Ivy,CA3 Bistratified
CA3 Ivy,CA3 Interneuron Specific Oriens
CA3 Ivy,CA3 Interneuron Specific Quad
CA3 Ivy,CA3 Ivy
CA3 Ivy,CA3 LMR-Targeting
CA3 Ivy,Lucidum LAX
CA3 Ivy,Lucidum ORAX
CA3 Ivy,Lucidum-Radiatum
CA3 Ivy,Spiny Lucidum
CA3 Ivy,Mossy Fiber-Associated
CA3 Ivy,Mossy Fiber-Associated ORDEN
CA3 Ivy,CA3 O-LM
CA3 Ivy,CA3 QuadD-LM
CA3 Ivy,CA3 Radiatum
CA3 Ivy,CA3 R-LM
CA3 Ivy,CA3 SO-SO
CA3 Ivy,CA3 Trilaminar
CA3 Ivy,CA2 Wide-Arbor Basket
CA3 LMR-Targeting,CA3 Pyramidal
