From (pre-synaptic type),To (post-synaptic type)
CA1 Back-Projection,CA1 Perforant Path-Associated
CA1 Back-Projection,CA1 Perforant Path-Associated QuadD
CA1 Back-Projection,CA1 Quadrilaminar
CA1 Back-Projection,CA1 Radiatum
CA1 Back-Projection,CA1 R-Receiving Apical-Targeting
CA1 Back-Projection,Schaffer Collateral-Associated
CA1 Back-Projection,Schaffer Collateral-Receiving R-Targeting
CA1 Back-Projection,CA1 SO-SO
CA1 Back-Projection,CA1 Hippocampo-subicular Projecting ENK+
CA1 Back-Projection,CA1 Trilaminar
CA1 Back-Projection,CA1 Radial Trilaminar
CA1 Basket,CA1 Pyramidal
CA1 Basket,CA1 Radiatum Giant
CA1 Basket,CA1 Axo-axonic
CA1 Basket,CA1 Basket
CA1 Basket,CA1 Basket CCK+
CA1 Basket,CA1 Horizontal Basket
CA1 Basket,CA1 Bistratified
CA1 Basket,CA1 Interneuron Specific LMO-O
CA1 Basket,CA1 Interneuron Specific LMR-R
CA1 Basket,CA1 Interneuron Specific O-Targeting QuadD
CA1 Basket,CA1 Interneuron Specific R-O
CA1 Basket,CA1 Interneuron Specific RO-O
CA1 Basket,CA1 Ivy
CA1 Basket,CA1 OR-LM
CA1 Basket,CA1 Radial Trilaminar
CA1 Basket CCK+,CA1 Pyramidal
CA1 Basket CCK+,CA1 Radiatum Giant
CA1 Basket CCK+,CA1 Axo-axonic
CA1 Basket CCK+,CA1 Basket
CA1 Basket CCK+,CA1 Basket CCK+
CA1 Basket CCK+,CA1 Horizontal Basket
CA1 Basket CCK+,CA1 Bistratified
CA1 Basket CCK+,CA1 Interneuron Specific LMO-O
CA1 Basket CCK+,CA1 Interneuron Specific LMR-R
CA1 Basket CCK+,CA1 Interneuron Specific O-Targeting QuadD
CA1 Basket CCK+,CA1 Interneuron Specific R-O
CA1 Basket CCK+,CA1 Interneuron Specific RO-O
CA1 Basket CCK+,CA1 Ivy
CA1 Basket CCK+,CA1 OR-LM
CA1 Basket CCK+,CA1 Radial Trilaminar
CA1 Horizontal Basket,CA1 Pyramidal
CA1 Horizontal Basket,CA1 Radiatum Giant
CA1 Horizontal Basket,CA1 Axo-axonic
CA1 Horizontal Basket,CA1 Basket
CA1 Horizontal Basket,CA1 Basket CCK+
CA1 Horizontal Basket,CA1 Horizontal Basket
CA1 Horizontal Basket,CA1 Bistratified
CA1 Horizontal Basket,CA1 Interneuron Specific LMO-O
CA1 Horizontal Basket,CA1 Interneuron Specific LMR-R
CA1 Horizontal Basket,CA1 Interneuron Specific O-Targeting QuadD
CA1 Horizontal Basket,CA1 Interneuron Specific R-O
CA1 Horizontal Basket,CA1 Interneuron Specific RO-O
CA1 Horizontal Basket,CA1 Ivy
CA1 Horizontal Basket,CA1 OR-LM
CA1 Horizontal Basket,CA1 Radial Trilaminar
CA1 Bistratified,CA2 Wide-Arbor Basket
CA1 Bistratified,CA1 Pyramidal
CA1 Bistratified,CA1 Radiatum Giant
CA1 Bistratified,CA1 Axo-axonic
CA1 Bistratified,CA1 Horizontal Axo-axonic
CA1 Bistratified,CA1 Back-Projection
CA1 Bistratified,CA1 Basket
CA1 Bistratified,CA1 Basket CCK+
CA1 Bistratified,CA1 Horizontal Basket
CA1 Bistratified,CA1 Bistratified
CA1 Bistratified,CA1 Interneuron Specific LMO-O
CA1 Bistratified,CA1 Interneuron Specific LMR-R
CA1 Bistratified,CA1 Interneuron Specific O-R
CA1 Bistratified,CA1 Interneuron Specific O-Targeting QuadD
CA1 Bistratified,CA1 Interneuron Specific R-O
CA1 Bistratified,CA1 Interneuron Specific RO-O
CA1 Bistratified,CA1 Ivy
CA1 Bistratified,CA1 LMR
CA1 Bistratified,CA1 LMR Projecting
CA1 Bistratified,CA1 O-LM
CA1 Bistratified,CA1 Recurrent O-LM
CA1 Bistratified,CA1 O-LMR
CA1 Bistratified,CA1 Oriens/Alveus
CA1 Bistratified,CA1 Oriens-Bistratified
CA1 Bistratified,CA1 Oriens-Bistratified Projecting
CA1 Bistratified,CA1 OR-LM
CA1 Bistratified,CA1 Perforant Path-Associated
CA1 Bistratified,CA1 Perforant Path-Associated QuadD
CA1 Bistratified,CA1 Quadrilaminar
CA1 Bistratified,CA1 Radiatum
CA1 Bistratified,CA1 R-Receiving Apical-Targeting
CA1 Bistratified,Schaffer Collateral-Associated
CA1 Bistratified,Schaffer Collateral-Receiving R-Targeting
CA1 Bistratified,CA1 SO-SO
CA1 Bistratified,CA1 Hippocampo-subicular Projecting ENK+
CA1 Bistratified,CA1 Trilaminar
CA1 Bistratified,CA1 Radial Trilaminar
CA1 Interneuron Specific LMO-O,CA1 Axo-axonic
CA1 Interneuron Specific LMO-O,CA1 Horizontal Axo-axonic
CA1 Interneuron Specific LMO-O,CA1 Back-Projection
CA1 Interneuron Specific LMO-O,CA1 Basket
CA1 Interneuron Specific LMO-O,CA1 Basket CCK+
CA1 Interneuron Specific LMO-O,CA1 Horizontal Basket
CA1 Interneuron Specific LMO-O,CA1 Bistratified
CA1 Interneuron Specific LMO-O,CA1 Interneuron Specific LMO-O
CA1 Interneuron Specific LMO-O,CA1 Interneuron Specific O-R
CA1 Interneuron Specific LMO-O,CA1 Interneuron Specific O-Targeting QuadD
CA1 Interneuron Specific LMO-O,CA1 Interneuron Specific RO-O
CA1 Interneuron Specific LMO-O,CA1 Ivy
CA1 Interneuron Specific LMO-O,CA1 O-LM
CA1 Interneuron Specific LMO-O,CA1 Recurrent O-LM
CA1 Interneuron Specific LMO-O,CA1 O-LMR
CA1 Interneuron Specific LMO-O,CA1 Oriens/Alveus
CA1 Interneuron Specific LMO-O,CA1 Oriens-Bistratified
CA1 Interneuron Specific LMO-O,CA1 Oriens-Bistratified Projecting
CA1 Interneuron Specific LMO-O,CA1 OR-LM
CA1 Interneuron Specific LMO-O,CA1 Perforant Path-Associated QuadD
CA1 Interneuron Specific LMO-O,CA1 Quadrilaminar
CA1 Interneuron Specific LMO-O,Schaffer Collateral-Receiving R-Targeting
CA1 Interneuron Specific LMO-O,CA1 SO-SO
CA1 Interneuron Specific LMO-O,CA1 Hippocampo-subicular Projecting ENK+
CA1 Interneuron Specific LMO-O,CA1 Trilaminar
CA1 Interneuron Specific LMO-O,CA1 Radial Trilaminar
CA1 Interneuron Specific LM-R,CA1 Axo-axonic
CA1 Interneuron Specific LM-R,CA1 Basket
CA1 Interneuron Specific LM-R,CA1 Basket CCK+
CA1 Interneuron Specific LM-R,CA1 Bistratified
CA1 Interneuron Specific LM-R,CA1 Interneuron Specific LMR-R
CA1 Interneuron Specific LM-R,CA1 Interneuron Specific O-Targeting QuadD
CA1 Interneuron Specific LM-R,CA1 Interneuron Specific R-O
CA1 Interneuron Specific LM-R,CA1 Interneuron Specific RO-O
CA1 Interneuron Specific LM-R,CA1 Ivy
CA1 Interneuron Specific LM-R,CA1 LMR
CA1 Interneuron Specific LM-R,CA1 LMR Projecting
CA1 Interneuron Specific LM-R,CA1 Oriens/Alveus
CA1 Interneuron Specific LM-R,CA1 OR-LM
CA1 Interneuron Specific LM-R,CA1 Perforant Path-Associated
CA1 Interneuron Specific LM-R,CA1 Perforant Path-Associated QuadD
CA1 Interneuron Specific LM-R,CA1 Quadrilaminar
CA1 Interneuron Specific LM-R,CA1 Radiatum
CA1 Interneuron Specific LM-R,CA1 R-Receiving Apical-Targeting
CA1 Interneuron Specific LM-R,Schaffer Collateral-Associated
CA1 Interneuron Specific LM-R,Schaffer Collateral-Receiving R-Targeting
CA1 Interneuron Specific LM-R,CA1 Hippocampo-subicular Projecting ENK+
CA1 Interneuron Specific LM-R,CA1 Radial Trilaminar
CA1 Interneuron Specific LMR-R,CA1 Basket CCK+
CA1 Interneuron Specific LMR-R,CA1 Bistratified
CA1 Interneuron Specific LMR-R,CA1 Interneuron Specific LMR-R
CA1 Interneuron Specific LMR-R,CA1 Interneuron Specific O-Targeting QuadD
CA1 Interneuron Specific LMR-R,CA1 Interneuron Specific R-O
CA1 Interneuron Specific LMR-R,CA1 Interneuron Specific RO-O
CA1 Interneuron Specific LMR-R,CA1 Ivy
CA1 Interneuron Specific LMR-R,CA1 LMR
CA1 Interneuron Specific LMR-R,CA1 LMR Projecting
CA1 Interneuron Specific LMR-R,CA1 Oriens/Alveus
CA1 Interneuron Specific LMR-R,CA1 OR-LM
CA1 Interneuron Specific LMR-R,CA1 Perforant Path-Associated
CA1 Interneuron Specific LMR-R,CA1 Perforant Path-Associated QuadD
CA1 Interneuron Specific LMR-R,CA1 Quadrilaminar
CA1 Interneuron Specific LMR-R,CA1 Radiatum
CA1 Interneuron Specific LMR-R,CA1 R-Receiving Apical-Targeting
CA1 Interneuron Specific LMR-R,Schaffer Collateral-Associated
CA1 Interneuron Specific LMR-R,Schaffer Collateral-Receiving R-Targeting
CA1 Interneuron Specific LMR-R,CA1 Hippocampo-subicular Projecting ENK+
CA1 Interneuron Specific LMR-R,CA1 Radial Trilaminar
CA1 Interneuron Specific O-R,CA1 Basket CCK+
CA1 Interneuron Specific O-R,CA1 Bistratified
CA1 Interneuron Specific O-R,CA1 Interneuron Specific LMR-R
CA1 Interneuron Specific O-R,CA1 Interneuron Specific O-Targeting QuadD
CA1 Interneuron Specific O-R,CA1 Interneuron Specific R-O
CA1 Interneuron Specific O-R,CA1 Interneuron Specific RO-O
CA1 Interneuron Specific O-R,CA1 Ivy
CA1 Interneuron Specific O-R,CA1 LMR
CA1 Interneuron Specific O-R,CA1 LMR Projecting
CA1 Interneuron Specific O-R,CA1 Oriens/Alveus
CA1 Interneuron Specific O-R,CA1 OR-LM
CA1 Interneuron Specific O-R,CA1 Perforant Path-Associated
CA1 Interneuron Specific O-R,CA1 Perforant Path-Associated QuadD
CA1 Interneuron Specific O-R,CA1 Quadrilaminar
CA1 Interneuron Specific O-R,CA1 Radiatum
CA1 Interneuron Specific O-R,CA1 R-Receiving Apical-Targeting
CA1 Interneuron Specific O-R,Schaffer Collateral-Associated
CA1 Interneuron Specific O-R,Schaffer Collateral-Receiving R-Targeting
CA1 Interneuron Specific O-R,CA1 Hippocampo-subicular Projecting ENK+
CA1 Interneuron Specific O-R,CA1 Radial Trilaminar
CA1 Interneuron Specific O-Targeting QuadD,CA1 Axo-axonic
CA1 Interneuron Specific O-Targeting QuadD,CA1 Horizontal Axo-axonic
CA1 Interneuron Specific O-Targeting QuadD,CA1 Back-Projection
CA1 Interneuron Specific O-Targeting QuadD,CA1 Basket
CA1 Interneuron Specific O-Targeting QuadD,CA1 Basket CCK+
CA1 Interneuron Specific O-Targeting QuadD,CA1 Horizontal Basket
CA1 Interneuron Specific O-Targeting QuadD,CA1 Bistratified
CA1 Interneuron Specific O-Targeting QuadD,CA1 Interneuron Specific LMO-O
CA1 Interneuron Specific O-Targeting QuadD,CA1 Interneuron Specific O-R
CA1 Interneuron Specific O-Targeting QuadD,CA1 Interneuron Specific O-Targeting QuadD
CA1 Interneuron Specific O-Targeting QuadD,CA1 Interneuron Specific RO-O
CA1 Interneuron Specific O-Targeting QuadD,CA1 Ivy
CA1 Interneuron Specific O-Targeting QuadD,CA1 O-LM
CA1 Interneuron Specific O-Targeting QuadD,CA1 Recurrent O-LM
CA1 Interneuron Specific O-Targeting QuadD,CA1 O-LMR
CA1 Interneuron Specific O-Targeting QuadD,CA1 Oriens/Alveus
CA1 Interneuron Specific O-Targeting QuadD,CA1 Oriens-Bistratified
CA1 Interneuron Specific O-Targeting QuadD,CA1 Oriens-Bistratified Projecting
CA1 Interneuron Specific O-Targeting QuadD,CA1 OR-LM
CA1 Interneuron Specific O-Targeting QuadD,CA1 Perforant Path-Associated QuadD
CA1 Interneuron Specific O-Targeting QuadD,CA1 Quadrilaminar
CA1 Interneuron Specific O-Targeting QuadD,Schaffer Collateral-Receiving R-Targeting
CA1 Interneuron Specific O-Targeting QuadD,CA1 SO-SO
CA1 Interneuron Specific O-Targeting QuadD,CA1 Hippocampo-subicular Projecting ENK+
CA1 Interneuron Specific O-Targeting QuadD,CA1 Trilaminar
CA1 Interneuron Specific O-Targeting QuadD,CA1 Radial Trilaminar
CA1 Interneuron Specific R-O,CA1 Axo-axonic
CA1 Interneuron Specific R-O,CA1 Horizontal Axo-axonic
CA1 Interneuron Specific R-O,CA1 Back-Projection
CA1 Interneuron Specific R-O,CA1 Basket
CA1 Interneuron Specific R-O,CA1 Basket CCK+
CA1 Interneuron Specific R-O,CA1 Horizontal Basket
CA1 Interneuron Specific R-O,CA1 Bistratified
CA1 Interneuron Specific R-O,CA1 Interneuron Specific LMO-O
CA1 Interneuron Specific R-O,CA1 Interneuron Specific O-R
CA1 Interneuron Specific R-O,CA1 Interneuron Specific O-Targeting QuadD
CA1 Interneuron Specific R-O,CA1 Interneuron Specific RO-O
CA1 Interneuron Specific R-O,CA1 Ivy
CA1 Interneuron Specific R-O,CA1 O-LM
CA1 Interneuron Specific R-O,CA1 Recurrent O-LM
CA1 Interneuron Specific R-O,CA1 O-LMR
CA1 Interneuron Specific R-O,CA1 Oriens/Alveus
CA1 Interneuron Specific R-O,CA1 Oriens-Bistratified
CA1 Interneuron Specific R-O,CA1 Oriens-Bistratified Projecting
CA1 Interneuron Specific R-O,CA1 OR-LM
CA1 Interneuron Specific R-O,CA1 Perforant Path-Associated QuadD
CA1 Interneuron Specific R-O,CA1 Quadrilaminar
CA1 Interneuron Specific R-O,Schaffer Collateral-Receiving R-Targeting
CA1 Interneuron Specific R-O,CA1 SO-SO
CA1 Interneuron Specific R-O,CA1 Hippocampo-subicular Projecting ENK+
CA1 Interneuron Specific R-O,CA1 Trilaminar
CA1 Interneuron Specific R-O,CA1 Radial Trilaminar
CA1 Interneuron Specific RO-O,CA1 Axo-axonic
CA1 Interneuron Specific RO-O,CA1 Horizontal Axo-axonic
CA1 Interneuron Specific RO-O,CA1 Back-Projection
CA1 Interneuron Specific RO-O,CA1 Basket
CA1 Interneuron Specific RO-O,CA1 Basket CCK+
CA1 Interneuron Specific RO-O,CA1 Horizontal Basket
CA1 Interneuron Specific RO-O,CA1 Bistratified
CA1 Interneuron Specific RO-O,CA1 Interneuron Specific LMO-O
CA1 Interneuron Specific RO-O,CA1 Interneuron Specific O-R
CA1 Interneuron Specific RO-O,CA1 Interneuron Specific O-Targeting QuadD
CA1 Interneuron Specific RO-O,CA1 Interneuron Specific RO-O
CA1 Interneuron Specific RO-O,CA1 Ivy
CA1 Interneuron Specific RO-O,CA1 O-LM
CA1 Interneuron Specific RO-O,CA1 Recurrent O-LM
CA1 Interneuron Specific RO-O,CA1 O-LMR
CA1 Interneuron Specific RO-O,CA1 Oriens/Alveus
CA1 Interneuron Specific RO-O,CA1 Oriens-Bistratified
CA1 Interneuron Specific RO-O,CA1 Oriens-Bistratified Projecting
CA1 Interneuron Specific RO-O,CA1 OR-LM
CA1 Interneuron Specific RO-O,CA1 Perforant Path-Associated QuadD
CA1 Interneuron Specific RO-O,CA1 Quadrilaminar
CA1 Interneuron Specific RO-O,Schaffer Collateral-Receiving R-Targeting
CA1 Interneuron Specific RO-O,CA1 SO-SO
CA1 Interneuron Specific RO-O,CA1 Hippocampo-subicular Projecting ENK+
CA1 Interneuron Specific RO-O,CA1 Trilaminar
CA1 Interneuron Specific RO-O,CA1 Radial Trilaminar
CA1 Ivy,CA2 Wide-Arbor Basket
CA1 Ivy,CA1 Pyramidal
CA1 Ivy,CA1 Radiatum Giant
CA1 Ivy,CA1 Axo-axonic
CA1 Ivy,CA1 Horizontal Axo-axonic
CA1 Ivy,CA1 Back-Projection
CA1 Ivy,CA1 Basket
CA1 Ivy,CA1 Basket CCK+
CA1 Ivy,CA1 Horizontal Basket
CA1 Ivy,CA1 Bistratified
CA1 Ivy,CA1 Interneuron Specific LMO-O
CA1 Ivy,CA1 Interneuron Specific LMR-R
CA1 Ivy,CA1 Interneuron Specific O-R
CA1 Ivy,CA1 Interneuron Specific O-Targeting QuadD
CA1 Ivy,CA1 Interneuron Specific R-O
CA1 Ivy,CA1 Interneuron Specific RO-O
CA1 Ivy,CA1 Ivy
CA1 Ivy,CA1 LMR
CA1 Ivy,CA1 LMR Projecting
CA1 Ivy,CA1 O-LM
CA1 Ivy,CA1 Recurrent O-LM
CA1 Ivy,CA1 O-LMR
CA1 Ivy,CA1 Oriens/Alveus
CA1 Ivy,CA1 Oriens-Bistratified
CA1 Ivy,CA1 Oriens-Bistratified Projecting
CA1 Ivy,CA1 OR-LM
CA1 Ivy,CA1 Perforant Path-Associated
CA1 Ivy,CA1 Perforant Path-Associated QuadD
CA1 Ivy,CA1 Quadrilaminar
CA1 Ivy,CA1 Radiatum
CA1 Ivy,CA1 R-Receiving Apical-Targeting
CA1 Ivy,Schaffer Collateral-Associated
CA1 Ivy,Schaffer Collateral-Receiving R-Targeting
CA1 Ivy,CA1 SO-SO
CA1 Ivy,CA1 Hippocampo-subicular Projecting ENK+
CA1 Ivy,CA1 Trilaminar
CA1 Ivy,CA1 Radial Trilaminar
CA1 LMR,CA1 Pyramidal
CA1 LMR,Cajal-Retzius
CA1 LMR,CA1 Radiatum Giant
CA1 LMR,CA1 Axo-axonic
CA1 LMR,CA1 Basket
CA1 LMR,CA1 Basket CCK+
CA1 LMR,CA1 Bistratified
CA1 LMR,CA1 Interneuron Specific LMO-O
CA1 LMR,CA1 Interneuron Specific LM-R
CA1 LMR,CA1 Interneuron Specific LMR-R
CA1 LMR,CA1 Interneuron Specific O-Targeting QuadD
CA1 LMR,CA1 Interneuron Specific R-O
CA1 LMR,CA1 Interneuron Specific RO-O
CA1 LMR,CA1 Ivy
CA1 LMR,CA1 LMR
CA1 LMR,CA1 LMR Projecting
CA1 LMR,CA1 Neurogliaform
CA1 LMR,CA1 Neurogliaform Projecting
CA1 LMR,CA1 Oriens/Alveus
CA1 LMR,CA1 OR-LM
CA1 LMR,CA1 Perforant Path-Associated
CA1 LMR,CA1 Perforant Path-Associated QuadD
CA1 LMR,CA1 Quadrilaminar
CA1 LMR,CA1 Radiatum
CA1 LMR,CA1 R-Receiving Apical-Targeting
CA1 LMR,Schaffer Collateral-Associated
CA1 LMR,Schaffer Collateral-Receiving R-Targeting
CA1 LMR,CA1 Hippocampo-subicular Projecting ENK+
CA1 LMR,CA1 Radial Trilaminar
CA1 LMR Projecting,Granule
CA1 LMR Projecting,Hilar Ectopic Granule
CA1 LMR Projecting,Semilunar Granule
CA1 LMR Projecting,Mossy MOLDEN
CA1 LMR Projecting,AIPRIM
CA1 LMR Projecting,DG Axo-axonic
CA1 LMR Projecting,DG Basket
CA1 LMR Projecting,DG Basket CCK+
CA1 LMR Projecting,HICAP
CA1 LMR Projecting,HIPROM
CA1 LMR Projecting,MOCAP
CA1 LMR Projecting,MOLAX
CA1 LMR Projecting,MOPP
CA1 LMR Projecting,DG Neurogliaform
CA1 LMR Projecting,Outer Molecular Layer
CA1 LMR Projecting,Total Molecular Layer
CA1 LMR Projecting,CA1 Pyramidal
CA1 LMR Projecting,Cajal-Retzius
CA1 LMR Projecting,CA1 Radiatum Giant
CA1 LMR Projecting,CA1 Axo-axonic
CA1 LMR Projecting,CA1 Basket
CA1 LMR Projecting,CA1 Basket CCK+
CA1 LMR Projecting,CA1 Bistratified
CA1 LMR Projecting,CA1 Interneuron Specific LMO-O
CA1 LMR Projecting,CA1 Interneuron Specific LM-R
CA1 LMR Projecting,CA1 Interneuron Specific LMR-R
CA1 LMR Projecting,CA1 Interneuron Specific O-Targeting QuadD
CA1 LMR Projecting,CA1 Interneuron Specific R-O
CA1 LMR Projecting,CA1 Interneuron Specific RO-O
CA1 LMR Projecting,CA1 Ivy
CA1 LMR Projecting,CA1 LMR
CA1 LMR Projecting,CA1 LMR Projecting
CA1 LMR Projecting,CA1 Neurogliaform
CA1 LMR Projecting,CA1 Neurogliaform Projecting
CA1 LMR Projecting,CA1 Oriens/Alveus
CA1 LMR Projecting,CA1 OR-LM
CA1 LMR Projecting,CA1 Perforant Path-Associated
CA1 LMR Projecting,CA1 Perforant Path-Associated QuadD
CA1 LMR Projecting,CA1 Quadrilaminar
CA1 LMR Projecting,CA1 Radiatum
CA1 LMR Projecting,CA1 R-Receiving Apical-Targeting
CA1 LMR Projecting,Schaffer Collateral-Associated
CA1 LMR Projecting,Schaffer Collateral-Receiving R-Targeting
CA1 LMR Projecting,CA1 Hippocampo-subicular Projecting ENK+
CA1 LMR Projecting,CA1 Radial Trilaminar
CA1 Neurogliaform,CA1 Pyramidal
CA1 Neurogliaform,Cajal-Retzius
CA1 Neurogliaform,CA1 Radiatum Giant
CA1 Neurogliaform,CA1 Axo-axonic
CA1 Neurogliaform,CA1 Basket
CA1 Neurogliaform,CA1 Basket CCK+
CA1 Neurogliaform,CA1 Interneuron Specific LMO-O
CA1 Neurogliaform,CA1 Interneuron Specific LM-R
CA1 Neurogliaform,CA1 Interneuron Specific LMR-R
CA1 Neurogliaform,CA1 Interneuron Specific O-Targeting QuadD
CA1 Neurogliaform,CA1 LMR
CA1 Neurogliaform,CA1 LMR Projecting
CA1 Neurogliaform,CA1 Neurogliaform
CA1 Neurogliaform,CA1 Neurogliaform Projecting
CA1 Neurogliaform,CA1 Oriens/Alveus
CA1 Neurogliaform,CA1 Perforant Path-Associated
CA1 Neurogliaform,CA1 Perforant Path-Associated QuadD
CA1 Neurogliaform,CA1 Quadrilaminar
CA1 Neurogliaform,Schaffer Collateral-Associated
CA1 Neurogliaform,CA1 Radial Trilaminar
CA1 Neurogliaform Projecting,Granule
CA1 Neurogliaform Projecting,Hilar Ectopic Granule
CA1 Neurogliaform Projecting,Semilunar Granule
CA1 Neurogliaform Projecting,Mossy MOLDEN
CA1 Neurogliaform Projecting,AIPRIM
CA1 Neurogliaform Projecting,DG Axo-axonic
CA1 Neurogliaform Projecting,DG Basket
CA1 Neurogliaform Projecting,DG Basket CCK+
CA1 Neurogliaform Projecting,HICAP
CA1 Neurogliaform Projecting,MOLAX
CA1 Neurogliaform Projecting,MOPP
CA1 Neurogliaform Projecting,DG Neurogliaform
CA1 Neurogliaform Projecting,Outer Molecular Layer
CA1 Neurogliaform Projecting,Total Molecular Layer
CA1 Neurogliaform Projecting,CA1 Pyramidal
CA1 Neurogliaform Projecting,Cajal-Retzius
CA1 Neurogliaform Projecting,CA1 Radiatum Giant
CA1 Neurogliaform Projecting,CA1 Axo-axonic
CA1 Neurogliaform Projecting,CA1 Basket
CA1 Neurogliaform Projecting,CA1 Basket CCK+
CA1 Neurogliaform Projecting,CA1 Interneuron Specific LMO-O
CA1 Neurogliaform Projecting,CA1 Interneuron Specific LM-R
CA1 Neurogliaform Projecting,CA1 Interneuron Specific LMR-R
CA1 Neurogliaform Projecting,CA1 Interneuron Specific O-Targeting QuadD
CA1 Neurogliaform Projecting,CA1 LMR
CA1 Neurogliaform Projecting,CA1 LMR Projecting
CA1 Neurogliaform Projecting,CA1 Neurogliaform
CA1 Neurogliaform Projecting,CA1 Neurogliaform Projecting
CA1 Neurogliaform Projecting,CA1 Oriens/Alveus
CA1 Neurogliaform Projecting,CA1 Perforant Path-Associated
CA1 Neurogliaform Projecting,CA1 Perforant Path-Associated QuadD
CA1 Neurogliaform Projecting,CA1 Quadrilaminar
CA1 Neurogliaform Projecting,Schaffer Collateral-Associated
CA1 Neurogliaform Projecting,CA1 Radial Trilaminar
CA1 O-LM,CA1 Pyramidal
CA1 O-LM,Cajal-Retzius
CA1 O-LM,CA1 Radiatum Giant
CA1 O-LM,CA1 Axo-axonic
CA1 O-LM,CA1 Basket
CA1 O-LM,CA1 Basket CCK+
CA1 O-LM,CA1 Interneuron Specific LMO-O
CA1 O-LM,CA1 Interneuron Specific LM-R
CA1 O-LM,CA1 Interneuron Specific LMR-R
CA1 O-LM,CA1 Interneuron Specific O-Targeting QuadD
CA1 O-LM,CA1 LMR
CA1 O-LM,CA1 LMR Projecting
CA1 O-LM,CA1 Neurogliaform
CA1 O-LM,CA1 Neurogliaform Projecting
CA1 O-LM,CA1 Oriens/Alveus
CA1 O-LM,CA1 Perforant Path-Associated
CA1 O-LM,CA1 Perforant Path-Associated QuadD
CA1 O-LM,CA1 Quadrilaminar
CA1 O-LM,Schaffer Collateral-Associated
CA1 O-LM,CA1 Radial Trilaminar
CA1 Recurrent O-LM,CA1 Pyramidal
CA1 Recurrent O-LM,Cajal-Retzius
CA1 Recurrent O-LM,CA1 Radiatum Giant
CA1 Recurrent O-LM,CA1 Axo-axonic
CA1 Recurrent O-LM,CA1 Horizontal Axo-axonic
CA1 Recurrent O-LM,CA1 Back-Projection
CA1 Recurrent O-LM,CA1 Basket
CA1 Recurrent O-LM,CA1 Basket CCK+
CA1 Recurrent O-LM,CA1 Horizontal Basket
CA1 Recurrent O-LM,CA1 Bistratified
CA1 Recurrent O-LM,CA1 Interneuron Specific LMO-O
CA1 Recurrent O-LM,CA1 Interneuron Specific LM-R
CA1 Recurrent O-LM,CA1 Interneuron Specific LMR-R
CA1 Recurrent O-LM,CA1 Interneuron Specific O-R
CA1 Recurrent O-LM,CA1 Interneuron Specific O-Targeting QuadD
CA1 Recurrent O-LM,CA1 Interneuron Specific RO-O
CA1 Recurrent O-LM,CA1 Ivy
CA1 Recurrent O-LM,CA1 LMR
CA1 Recurrent O-LM,CA1 LMR Projecting
CA1 Recurrent O-LM,CA1 Neurogliaform
CA1 Recurrent O-LM,CA1 Neurogliaform Projecting
CA1 Recurrent O-LM,CA1 O-LM
CA1 Recurrent O-LM,CA1 Recurrent O-LM
CA1 Recurrent O-LM,CA1 O-LMR
CA1 Recurrent O-LM,CA1 Oriens/Alveus
CA1 Recurrent O-LM,CA1 Oriens-Bistratified
CA1 Recurrent O-LM,CA1 Oriens-Bistratified Projecting
CA1 Recurrent O-LM,CA1 OR-LM
CA1 Recurrent O-LM,CA1 Perforant Path-Associated
CA1 Recurrent O-LM,CA1 Perforant Path-Associated QuadD
CA1 Recurrent O-LM,CA1 Quadrilaminar
CA1 Recurrent O-LM,Schaffer Collateral-Associated
CA1 Recurrent O-LM,Schaffer Collateral-Receiving R-Targeting
CA1 Recurrent O-LM,CA1 SO-SO
CA1 Recurrent O-LM,CA1 Hippocampo-subicular Projecting ENK+
CA1 Recurrent O-LM,CA1 Trilaminar
CA1 Recurrent O-LM,CA1 Radial Trilaminar
CA1 O-LMR,CA1 Pyramidal
CA1 O-LMR,Cajal-Retzius
CA1 O-LMR,CA1 Radiatum Giant
CA1 O-LMR,CA1 Axo-axonic
CA1 O-LMR,CA1 Basket
CA1 O-LMR,CA1 Basket CCK+
CA1 O-LMR,CA1 Bistratified
CA1 O-LMR,CA1 Interneuron Specific LMO-O
CA1 O-LMR,CA1 Interneuron Specific LM-R
CA1 O-LMR,CA1 Interneuron Specific LMR-R
CA1 O-LMR,CA1 Interneuron Specific O-Targeting QuadD
CA1 O-LMR,CA1 Interneuron Specific R-O
CA1 O-LMR,CA1 Interneuron Specific RO-O
CA1 O-LMR,CA1 Ivy
CA1 O-LMR,CA1 LMR
CA1 O-LMR,CA1 LMR Projecting
CA1 O-LMR,CA1 Neurogliaform
CA1 O-LMR,CA1 Neurogliaform Projecting
CA1 O-LMR,CA1 Oriens/Alveus
CA1 O-LMR,CA1 OR-LM
CA1 O-LMR,CA1 Perforant Path-Associated
CA1 O-LMR,CA1 Perforant Path-Associated QuadD
CA1 O-LMR,CA1 Quadrilaminar
CA1 O-LMR,CA1 Radiatum
CA1 O-LMR,CA1 R-Receiving Apical-Targeting
CA1 O-LMR,Schaffer Collateral-Associated
CA1 O-LMR,Schaffer Collateral-Receiving R-Targeting
CA1 O-LMR,CA1 Hippocampo-subicular Projecting ENK+
CA1 O-LMR,CA1 Radial Trilaminar
CA1 Oriens/Alveus,CA2 Wide-Arbor Basket
CA1 Oriens/Alveus,CA1 Pyramidal
CA1 Oriens/Alveus,CA1 Axo-axonic
