id,source_id,target_id,reference_id,frag_id,evi_id
326,4069,4000,1003162,30204,30205
327,4069,4000,1003024,30190,30191
328,4069,4000,1003177,30205,30206
329,4069,4000,1003406,30210,30211
330,4069,4000,1003738,30250,30251
331,4069,4000,1004030,30269,30270
332,4069,4000,1000630,30044,30045
333,4069,4000,1000645,30059,30060
334,4069,4000,1000592,30035,30036
335,4069,4000,1003649,30241,30242
336,4069,4000,1000547,30020,30021
337,4069,4000,1007114,30345,30346
338,4069,4000,1007116,30346,30347
339,4069,4000,1007118,30347,30348
340,4069,4000,1007150,30371,30372
341,4069,4094,1007206,30410,30411
342,4006,4000,1003711,30248,30249
343,4006,4000,1000573,30024,30025
344,4006,4000,1000618,30039,30040
345,4006,4000,1004030,30269,30270
346,4006,4000,1000630,30044,30045
347,4006,4000,1000645,30059,30060
348,4006,4000,1000592,30035,30036
349,4006,1000,2000025,30457,30458
350,4015,4015,1007188,30396,30397
351,4015,4000,1000573,30024,30025
352,4015,4000,1004030,30269,30270
353,4015,4000,1000582,30033,30034
354,4015,4000,1000630,30044,30045
355,4015,4000,1000645,30059,30060
356,4015,4000,1003705,30247,30248
357,4015,4000,1007124,30353,30354
358,4015,4000,1007126,30354,30355
359,4094,4012,1007208,30413,30414
360,4094,4012,1007212,30415,30416
361,4094,4000,1007210,30414,30415
362,4094,4000,1007212,30415,30416
363,4054,4080,2000068,30545,30546
364,4054,4080,2000069,30550,30551
365,4022,4069,1007120,30348,30349
366,4021,4078,1000708,30077,30078
367,4021,4078,1003771,30256,30257
368,4021,4020,1007176,30386,30387
369,4021,4091,1007172,30384,30385
370,4021,4091,1007174,30385,30386
371,4020,4089,1003771,30256,30257
372,4020,4089,1000711,30078,30079
373,4020,4089,1007120,30348,30349
374,4091,4069,1007120,30348,30349
375,4093,4069,1007120,30348,30349
376,4005,4000,1003645,30228,30229
377,4005,4000,1003649,30241,30242
378,4005,4000,1000645,30059,30060
379,4011,4000,1003530,30219,30220
380,4011,4011,2000033,30467,30468
381,4087,4000,1003162,30204,30205
382,4087,4084,1007164,30378,30379
383,4083,4000,1007150,30371,30372
384,4083,4000,1007152,30374,30375
385,4055,4000,1007160,30376,30377
386,4055,4000,1007162,30377,30378
387,4003,4000,1006998,30333,30334
388,4028,4000,1007000,30334,30335
389,4028,4000,1007128,30355,30356
390,4028,4000,1007130,30356,30357
391,4028,4000,1007132,30358,30359
392,4028,4003,1007001,30335,30336
393,4035,4000,1000573,30024,30025
394,4035,4000,1004030,30269,30270
395,4035,4000,1000621,30042,30043
396,4035,4000,1000630,30044,30045
397,4035,4000,1000645,30059,30060
398,4035,4000,1000606,30038,30039
399,4035,4000,1007134,30360,30361
400,4035,4000,1007136,30361,30362
401,4035,4000,1007138,30362,30363
402,4035,4000,1004024,30268,30269
403,4013,4013,1007166,30379,30380
404,4023,4000,1000573,30024,30025
405,4023,4000,1000618,30039,30040
406,4023,4000,1004030,30269,30270
407,4023,4000,1000621,30042,30043
408,4023,4000,1000630,30044,30045
409,4023,4000,1000645,30059,30060
410,4023,4000,2000061,30536,30537
411,4023,2000,1003753,30251,30252
412,4023,2000,2000060,30535,30536
413,4023,2000,2000061,30536,30537
414,4036,4000,1003645,30228,30229
415,4036,4000,1003177,30205,30206
416,4036,4000,1004030,30269,30270
417,4036,4000,1000630,30044,30045
418,4036,4000,1000645,30059,30060
419,4036,4000,1002000,30144,30145
420,4036,4000,1000632,30058,30059
421,4036,4000,1000662,30075,30076
422,4036,4000,1007006,30339,30340
423,4036,4000,1007142,30364,30365
424,4036,4000,1007150,30371,30372
425,4036,4000,1007154,30375,30376
426,4036,4000,1006986,30327,30328
427,4036,4000,2000076,30560,30561
428,4036,4000,1007218,30418,30419
429,4036,4000,1007220,30420,30421
430,4036,4000,1007222,30424,30425
431,4038,4000,2000094,30580,30581
432,4038,4000,2000095,30581,30582
433,4038,4000,1007218,30418,30419
434,4038,4000,1007220,30420,30421
435,4038,4000,1007222,30424,30425
436,4039,4000,1007148,30370,30371
437,4078,4078,1003647,30239,30240
438,4078,4000,1003645,30228,30229
439,4078,4000,1003646,30238,30239
440,4078,4000,1003177,30205,30206
441,4078,4000,1004030,30269,30270
442,4078,4000,1000630,30044,30045
443,4078,4000,1000645,30059,30060
444,4078,4000,1007008,30341,30342
445,4078,4000,1007142,30364,30365
446,4078,4000,1007144,30366,30367
447,4078,4000,1007146,30367,30368
448,4078,4000,2000021,30449,30450
449,4078,4000,1006992,30330,30331
450,4078,4000,2000076,30560,30561
451,4078,4013,1007202,30407,30408
452,4078,4079,2000023,30455,30456
453,4078,4080,1007198,30405,30406
454,4079,4000,1003645,30228,30229
455,4079,4000,1003648,30240,30241
456,4079,4000,1003177,30205,30206
457,4079,4000,1004030,30269,30270
458,4079,4000,1000630,30044,30045
459,4079,4000,1000645,30059,30060
460,4079,4000,1006984,30325,30326
461,4079,4000,2000022,30452,30453
462,4079,4000,2000056,30526,30527
463,4079,4000,2000076,30560,30561
464,4079,4078,2000022,30452,30453
465,4079,4079,2000022,30452,30453
466,5005,4000,1007168,30380,30381
467,6003,6053,2000048,30517,30518
468,6003,6053,2000049,30518,30519
469,6003,1000,1004006,30261,30262
470,6003,1000,1002721,30175,30176
471,6003,1000,1001811,30126,30127
472,6003,1000,1001933,30133,30134
473,6003,1000,1002624,30165,30166
474,6003,1000,1002718,30170,30171
475,6003,1043,1007182,30389,30390
476,6003,2000,1000762,30082,30083
477,6003,2000,1004006,30261,30262
478,6003,3000,1004006,30261,30262
479,6002,6005,1002721,30175,30176
480,6002,6005,1001811,30126,30127
481,6002,6005,1001933,30133,30134
482,6002,6005,1002624,30165,30166
483,6002,6005,1002718,30170,30171
484,6002,6002,2000080,30566,30567
485,6002,1001,1007182,30389,30390
486,6005,1000,1002721,30175,30176
487,6005,1000,1001811,30126,30127
488,6005,1000,1001933,30133,30134
489,6005,1000,1002624,30165,30166
490,6005,1000,1002718,30170,30171
491,6005,1043,1007182,30389,30390
492,6082,1000,1002721,30175,30176
493,6082,1000,1001811,30126,30127
494,6082,1000,1001933,30133,30134
495,6082,1000,1002624,30165,30166
496,6082,1000,1002718,30170,30171
497,6082,1041,1007182,30389,30390
498,6017,4000,1003024,30190,30191
499,6017,4000,1004009,30265,30266
500,6017,4000,1003018,30187,30188
501,6017,4000,1000720,30079,30080
502,6017,4005,1003645,30228,30229
503,6017,4078,2000068,30545,30546
504,6017,4078,2000069,30550,30551
505,6092,1043,1007182,30389,30390
506,6092,4000,1004009,30265,30266
507,6092,4000,1003018,30187,30188
508,6092,4000,1000720,30079,30080
509,6092,4005,1003645,30228,30229
510,6092,4078,2000068,30545,30546
