evidence_ID,property_ID,source_id,target_id,original_id,fragment_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
30304,NULL,1035,1000,1005045,30303,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30305,NULL,1035,1000,1005047,30304,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30306,NULL,1035,1000,1005049,30305,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30307,NULL,1035,1000,1005051,30306,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30308,NULL,1035,1000,1005053,30307,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30430,NULL,1035,1000,2000003,30429,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30437,NULL,1035,1000,2000010,30436,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30450,NULL,1035,1000,2000021,30449,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30573,NULL,1035,1000,2000087,30572,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30574,NULL,1035,1000,2000088,30573,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30577,NULL,1035,1009,2000090,30576,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30309,NULL,1036,1000,1005055,30308,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30430,NULL,1036,1035,2000003,30429,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30107,NULL,1009,1000,1001336,30106,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30436,NULL,1009,1000,2000009,30435,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30437,NULL,1009,1000,2000010,30436,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30543,NULL,1009,1000,2000064,30542,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30399,NULL,1009,1035,1007192,30398,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30432,NULL,1009,1009,2000005,30431,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30107,NULL,1013,1000,1001336,30106,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30125,NULL,1013,1000,1001796,30124,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30126,NULL,1013,1000,1001802,30125,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30133,NULL,1013,1000,1001924,30132,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30157,NULL,1013,1000,1002333,30156,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30102,NULL,1013,1000,1001324,30101,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30114,NULL,1013,1000,1001427,30113,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30430,NULL,1013,1000,2000003,30429,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30539,NULL,1013,1000,2000063,30538,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30543,NULL,1013,1000,2000064,30542,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30583,NULL,1013,1000,2000096,30582,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30102,NULL,1013,1035,1001324,30101,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30114,NULL,1013,1035,1001427,30113,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30399,NULL,1013,1035,1007192,30398,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30430,NULL,1013,1035,2000003,30429,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30435,NULL,1013,1035,2000008,30434,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30085,NULL,1008,1000,1000843,30084,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30104,NULL,1008,1000,1001330,30103,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30116,NULL,1008,1000,1001433,30115,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30104,NULL,1008,1009,1001330,30103,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30116,NULL,1008,1009,1001433,30115,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30104,NULL,1008,1008,1001330,30103,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30116,NULL,1008,1008,1001433,30115,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30428,NULL,1007,1000,2000001,30427,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30429,NULL,1007,1007,2000002,30428,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30580,NULL,1004,1004,2000093,30579,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30579,NULL,1026,1000,2000092,30578,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30083,NULL,2000,2000,1000762,30082,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30192,NULL,2000,2000,1003036,30191,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
